大項目	中項目	小項目	Prompt
オプション	オプション	開放	unzipped
オプション	オプション	死	death
オプション	オプション	傷がついてる系	injury
オプション	オプション	傷がついてる系2	scar on face
オプション	オプション	触覚	antennae
オプション	オプション	絶対空域	thigh gap
オプション	オプション	絶対空域2	ass visible through thighs
オプション	オプション	絶対空域3	with thigh gap
オプション	オプション	天使の輪	halo
オプション	オプション	土とか砂の汚れが付着	trait connection
オプション	オプション	特性接続	characteristic connection
オプション	オプション	匂い	smell
オプション	オプション	日焼け跡	tanlines
オプション	オプション	濡れた汗	wet sweat
オプション	オプション	濡れた布	wet cloth
オプション	オプション	波紋	ripples
オプション	オプション	破れたドレス	torn dress
オプション	オプション	破れた服	torn clothesup
オプション	オプション	皮ひも	thong
オプション	オプション	抱きまくら	dakimakura
オプション	液体	涙	tears
オプション	汚物	排泄物	excrement
オプション	汚物	糞便	faeces
お気に	お気に	むき出しの白シャツ	bare white shirt
カメラワーク	アングル	全身	whole body
カメラワーク	その他	焦点がはっきりする	sharp focus
カメラワーク	フォーカス	バストアップ	upper body
カメラワーク	フォーカス	ももから上	cowboy shot
カメラワーク	フォーカス	下半身,机の下から覗いてるみたいな感じ	lower body
カメラワーク	フォーカス	顔にフォーカス	face
カメラワーク	フォーカス	顔のドアップ	close up
カメラワーク	フォーカス	脚が手前で頭まで(セクシー)	feet out of frame
カメラワーク	フォーカス	首から上,肖像画	portrait
カメラワーク	フォーカス	全身撮影	full body
カメラワーク	フォーカス	足にフォーカス	feet
カメラワーク	画角	ソロフォーカス	solo focus
カメラワーク	画角	フレームから外れる	out of frame
カメラワーク	画角	下半身だけ	only lower body
カメラワーク	画角	上半身のみ	only upper body
カメラワーク	画角	全身撮影	full body
カメラワーク	画角	頭をフレーム外へ	head out of frame
カメラワーク	角度	女の子の正面	girls' front
カメラワーク	角度	前面から斜めに	diagonally from front
カメラワーク	距離	カメラとはほど遠い	far from viewer
カメラワーク	距離	カメラに近い	very close to viewers
カメラワーク	距離	カメラの近く	close to viewers
カメラワーク	距離	ロングショット	long shot
カメラワーク	距離	人々のクローズアップ	close up of people
カメラワーク	効果	ソフトフォーカス	soft focus
カメラワーク	効果	ロングフォーカス	long focus
カメラワーク	効果	過剰抽出	overexplosure
カメラワーク	効果	露出曝露	overexposure
カメラワーク	構図	アクションシーン	action shot
カメラワーク	構図	イラストのキャラ割合が減る	wide shot
カメラワーク	構図	おしりにフォーカス	anal focus
カメラワーク	構図	ダイナミックな画角	dynamic angle
カメラワーク	構図	ドラマチックな画角	dramatic angle
カメラワーク	構図	パースの強い画角	perspective
カメラワーク	構図	フレーム	frame
カメラワーク	構図	ローアングル	low angle
カメラワーク	構図	映画的なショット	cinematic shot
カメラワーク	構図	映画的な画角	cinematic angle
カメラワーク	構図	下から見上げてる構図	from up side
カメラワーク	構図	強烈な画角	intense angle
カメラワーク	構図	後ろから	on back
カメラワーク	構図	視姦	staring
カメラワーク	構図	写真撮影	viewfinder
カメラワーク	構図	手すりがある構図	railing
カメラワーク	構図	手を後ろに回す構図	arm behind back
カメラワーク	構図	少し低い位置から	from right under
カメラワーク	構図	動的な構成	dynamic composition
カメラワーク	構図	髪が肩にかかる構図	hair over shoulder
カメラワーク	視点	キャラの横顔	profile
カメラワーク	視点	キャラの後ろからの視点	from behind
カメラワーク	視点	キャラの後ろからの視点,背中が見える	back viewers
カメラワーク	視点	キャラを横から見る視点	from side
カメラワーク	視点	キャラを見下ろす視点	from above
カメラワーク	視点	キャラを見上げる視点	from below
カメラワーク	視点	キャラを斜めから見る視点	dutch angle
カメラワーク	視点	よそ見,カメラ外を見る.視線ずらし	looking away
カメラワーク	視点	一人称視点,自身の手あり	pov hands
カメラワーク	視点	顔の正面	facing viewer
カメラワーク	視点	顔の正面2	forhead
カメラワーク	視点	自撮り視点	selfie view
カメラワーク	視点	主観	pov
カメラワーク	視点	主観(魚眼レンズ)	pov, fisheye
カメラワーク	視点	小人視点	foreshortening
カメラワーク	視点	隣からの視点	side view
カメラワーク	複数画面	複数ビュー	multiple views
キャラクター	Air	神尾観鈴	{{kamio misuzu}},air,loli,key (company) ,ocean,very long hair,ponytail,blonde hair,blue eyes,white ribbon,feathers,open mouth,red tie,black school uniform,black long dress, {white shoulder},long sideburns,Large amount of hair
キャラクター	among us	クルー	no humans,{{{{crewmate (among us)}}}}
キャラクター	Charlotte	友利奈緒	tomori nao(Charlotte), gray hair, two side up, wavy hair
キャラクター	Fate	BB	bb (fate) ,fate/extra ccc, long hair,purple hair, purple eyes, {{ black skirt}}, high-waist skirt,black coat, white leotard, black thighhighs, burnt clothes, white gloves, red hair ribbon,red neck ribbon, large breasts, on back, looking at viewer
キャラクター	Fate	アストルフォ	astolfo (fate),flat chest, tomboy
キャラクター	Fate	イシュタル	{{ishtar (fate) }},fate/grand order
キャラクター	Fate	イリヤスフィールアインツベルン	illyasviel von einzbern
キャラクター	Fate	キャストリア	artoria caster
キャラクター	Fate	マシュ・キリエライト	mash kyrielight, pink hair, short hair, purple eyes, hair over one eye, black glasses, black dress, red tie, black pantyhose, miniskirt, white jacket, hooded jacket
キャラクター	Fate	レオナルドダヴィンチ	{{{{leonardo_da_vinci_(fate)}}}}
キャラクター	Fate	遠坂凛	{{{{tohsaka_rin}}}}
キャラクター	Fate	葛飾北斎	katsushika hokusai (fate),
キャラクター	Fate	清少納言	sei shounagon (fate),
キャラクター	Fate	清姫	kiyohime (fate),{{bright Cyan kimono}}
キャラクター	Fate	清姫(水着)	kiyohime (fate),{yellow bikini}, frilled bikini
キャラクター	Fate	謎のヒロインXオルタ	fate/grand order,{{fate (series}}},{{artoria pendragon (fate)}},{{mysterious heroine x alter (fate)}},{{mysterious heroine x alter (second ascension) (fate)}},ahoge,bangs,bike shorts,{{{{{black jacket}}}}},black shorts,{{{{black}}}} thighhighs,blonde hair,blush,braid,breasts,choker,french braid,glasses,hair between eyes,hair bun,hood,hooded jacket,jacket,long hair,long sleeves,looking at viewer,medium breasts,shirt,shorts,sidelocks,single hair bun,white shirt,yellow eyes,character focus, blush, {{{{expressionless}}}},{{loli}},{{{{red scarf}}}},{{black hooded jacket}}
キャラクター	Fate	謎のヒロインXオルタ(フォーリナー)	game cg,{{{hyper detailed}}},fate/grand order,{{fate (series}}},{{artoria pendragon (fate)}},{{mysterious heroine x alter (fate)}},{{mysterious heroine x alter (second ascension) (fate)}},,ahoge,bangs,bike shorts,black jacket,black shorts,black thighhighs,blonde hair,blush,braid,breasts,choker,french braid,glasses,hair between eyes,hair bun,hood,hooded jacket,jacket,long hair,long sleeves,looking at viewer,medium breasts,shirt,shorts,sidelocks,single hair bun,white shirt,yellow eyes,character focus, blush, expressionless,loli,
キャラクター	FE	ミカヤ	{{{{{{{{a girlmicaiah fire emblem}}}}}}}},{yellow eyes},{{{{red sleeveless dress}}}},side slit,belt,long fingerless gloves,hair ribbon,blue hair ribbon,long scarf,blue scarf,black gloves,black pantyhose,medium breasts,simple background,{half updo},orange bird on hand
キャラクター	Go! プリンセスプリキュア	キュアスカーレット	cure scarlet (precure)
キャラクター	Go! プリンセスプリキュア	キュアトゥインクル	cure twinkle (precure)
キャラクター	Go! プリンセスプリキュア	キュアフローラ	cure flora (precure)
キャラクター	Go! プリンセスプリキュア	キュアマーメイド	cure mermaid (precure)
キャラクター	Go! プリンセスプリキュア	海藤みなみ	kaido minami (precure)
キャラクター	Go! プリンセスプリキュア	紅城トワ	akagi towa (precure)
キャラクター	Go! プリンセスプリキュア	春野はるか	haruno haruka (precure)
キャラクター	Go! プリンセスプリキュア	天ノ川きらら	amanogawa kirara (precure)
キャラクター	GTA V	トレバー・フィリップス	Trevor Philips bald hair
キャラクター	Hololive	AZKi	azki (hololive), black hair
キャラクター	Hololive	さくらみこ	sakura miko
キャラクター	Hololive	すいちゃん	{{{hoshimachi suisei}}, blue hair, side ponytail, star choker,, grey plaid jacket, grey plaid headwear, plaid dress, collared shirt
キャラクター	Hololive	トワ様	{hololive, tokoyami towa,purple hair, twintails, green eyes, long hair,demon tail}{whitejacket, black shorts, black cap,navel}
キャラクター	Hololive	フブちゃん	{{{shirakami fubuki}}}, fox girl, white hair,braid, ahoge, animal ear fluff, aqua eyes, black ribbon, white shirt, off shoulder
キャラクター	Hololive	マリン船長	houshou marine, red hair,heterochromia
キャラクター	Hololive	ラプラス・ダークネス	la+ darknesss_ (hololive), demon horns
キャラクター	Hololive	るーちゃん	{hololive,uruha rushia,green hair,bun head,butterfly,red eyes, short hair,small breasts}
キャラクター	Hololive	沙花叉クロヱ	sakamata chloe
キャラクター	Hololive	紫咲シオン	murasaki shion
キャラクター	Hololive	赤井はあと	akai haato
キャラクター	Hololive	雪花ラミィ	yukihana lamy
キャラクター	Hololive	天音かなた	amane kanata
キャラクター	Hololive	兎田ぺこら	{{{{{usada pekora}}}}}, hololive, {{long hair}}, long twintail, red eyes, light Blue hair, White rabbit ears , small breastsnd, Round eyebrows, big braids,White highlights, playboy bunny, small breasts, black tights
キャラクター	Hololive	博衣こより	hakui_koyori_(hololive), fox ear
キャラクター	Hololive	白銀ノエル	shirogane_noel, large breasts, white hair,armor,black armor,belt ,black gloves,cleavage,cleavage cutout,medium hair,green eyes,french braid,black circlet ,hololive
キャラクター	Hololive	姫森ルーナ	himemori luna (hololive)
キャラクター	Hololive	百鬼あやめ	nakiri ayame, oni horns, white hair, red eyes, black and red kimono, detached sleeves, double bun, streaked hair, hair bell
キャラクター	Hololive	風間いろは	kazama iroha, ninja, katana, yellow hair, ponytail, bleached cloth
キャラクター	Hololive	湊あくあ	minato aqua
キャラクター	HUGっと! プリキュア	キュアアムール	cure amour (precure)
キャラクター	HUGっと! プリキュア	キュアアンジュ	cure ange (precure)
キャラクター	HUGっと! プリキュア	キュアエール	cure yell (precure)
キャラクター	HUGっと! プリキュア	キュアエトワール	cure etoile (precure)
キャラクター	HUGっと! プリキュア	キュアマシェリ	cure macherie (precure)
キャラクター	HUGっと! プリキュア	ルールー・アムール	ruru amour (precure)
キャラクター	HUGっと! プリキュア	愛崎えみる	aisaki emiru (precure)
キャラクター	HUGっと! プリキュア	輝木ほまれ	kagayaki homare (precure)
キャラクター	HUGっと! プリキュア	野乃はな	nono hana (precure)
キャラクター	HUGっと! プリキュア	薬師寺さあや	yakushiji saaya (precure)
キャラクター	Kanon	月宮あゆ	{{{{tsukimiya ayu (kanon)}}}}
キャラクター	NARUTO	春野サクラ	{{{{haruno sakura (naruto (series))}}}}
キャラクター	NEW GAME!	阿波根 うみこ	{{{{ahagon umiko (new game!)}}}}
キャラクター	NEW GAME!	遠山 りん	{{{{toyama rin (new game!)}}}}
キャラクター	NEW GAME!	桜ねね	{{{{sakura nene (new game!)}}}}
キャラクター	NEW GAME!	篠田 はじめ	{{{{shinoda hajime (new game!)}}}}
キャラクター	NEW GAME!	滝本 ひふみ	{{{{takimoto hifumi (new game!)}}}}
キャラクター	NEW GAME!	八神 コウ	{{{{yagami kou (new game!)}}}}
キャラクター	NEW GAME!	飯島 ゆん	{{{{iijima yun (new game!)}}}}
キャラクター	NEW GAME!	涼風 青葉	{{{{suzukaze aoba (new game!)}}}}
キャラクター	Re：ゼロから始める異世界生活	エキドナ	{{{{echidna_(re:zero)}}}}
キャラクター	Re：ゼロから始める異世界生活	エミリア	emilia (re:zero)
キャラクター	Re：ゼロから始める異世界生活	ベアトリス	{{{{beatrice (re:zero)}}}}
キャラクター	Re：ゼロから始める異世界生活	ラム	{{{{{ram_(re:zero)}}}}}, {re:zero kara hajimeru isekai seikatsu}, {{{{{roswaal mansion maid uniform}}}}},{x hair ornament}, ,{{pink hair}},{red eyes}, {hair over one eye},right eye, short hair, {bob cut},little girl,ribbon,bangs,white apron,white apron,cowboy shot,[[[extremely detailed CG unity 8k wallpaper]]],{painting},[[[ink]]],amazing,Depth of field,{{best quality}},{{masterpiece}},highres,dynamic angle,{{illustration}},cinematic lighting,{},[[extremely_detailed_eyes_and_face]],detailed shadow
キャラクター	Re：ゼロから始める異世界生活	レム	rem (re:zero)
キャラクター	SPY×FAMILY（スパイファミリー）	アーニャ・フォージャー	{{anya (spy x family)}}, {{spy x family}},
キャラクター	SPY×FAMILY（スパイファミリー）	ボンド・フォージャー	{{bond (spy x family)}}, {{spy x family}}, 1dog, nude, white far
キャラクター	SPY×FAMILY（スパイファミリー）	ヨル・フォージャー	{{yor briar}}, {{spy x family}},
キャラクター	SPY×FAMILY（スパイファミリー）	ロイド・フォージャー	{{twilight (spy x family)}}, {{spy x family}},1boy
キャラクター	To LOVEる -とらぶる	ティアーユ・ルナティーク	{{{{{teayu lunatique}}}}},{{{to love-ru}}},baby face,blonde hair, long hair,green eyes,{{{tareme}}}, glasses,{large breasts}
キャラクター	To LOVEる -とらぶる	ララ・サタリン・デビルーク	{{{{lala satalin deviluke}}}}, {{to love-ru}}, long hair, pink wavy hair {{{{very long sidelocks}}}}, dark green eyes, {{{tareme}}}, ahoge, school uniform
キャラクター	To LOVEる -とらぶる	金色の闇（ヤミ）	{{{{konjiki no yami}}}}, to love-ru, loli, yellow hair, very long hair, small breasts, dark red eyes, school uniform, hair intakes side locks, {{{{tareme}}}}, miniskirt
キャラクター	To LOVEる -とらぶる	結城美柑	{{{{yuuki_mikan}}}},to_love-ru
キャラクター	To LOVEる -とらぶる	小手川唯	{{{{kotegawa yui (to love-ru)}}}}
キャラクター	To LOVEる -とらぶる	小手川唯\	{{{{kotegawa yui}}}}, to love-ru, medium hair, black straight hair {{{{very long sidelocks}}}}, light brown eyes, {{{tareme}}}, school uniform, [[[[angry]]]]
キャラクター	To LOVEる -とらぶる	天条院沙姫	{{{{tenjouin saki}}}}, [[[[to love-ru]]]], long blonde drill hair, wavy long hair, double buns, swept bangs, orange eyes, {{{tareme}}}, medium breasts
キャラクター	VOICE BOX	ずんだもん	5 years old,loli,minigirl,flat chest,preschooler,{{{{green hair, short hair}}}},orange eyes, unusual pupils,v shaped eyebrows,skin fang,green horse ears,small breasts,white shirt,white suspenders,green shorts,short sleeve,green footwear,pink bow,kawaii,pink bow
キャラクター	VOICE ROID	琴葉葵	kotonoha aoi
キャラクター	VOICE ROID	琴葉茜	kotonoha akane
キャラクター	VOICE ROID	結月ゆかり	yuzuki yukari
キャラクター	VOICE ROID	紲星あかり	kizuna akari,silver hair,blue eyes,voice roid,long braid hair
キャラクター	VTuber	しぐれうい	shigure ui
キャラクター	WORKING!!	伊波まひる	{{{{inami_mahiru (working!!)}}}}
キャラクター	WORKING!!	轟八千代	{{{{todoroki_yachiyo (working!!)}}}}
キャラクター	WORKING!!	山田葵	{{{{yamada_aoi (working!!)}}}}
キャラクター	WORKING!!	種島ぽぷら	{taneshima popura},light brown hair, brown eyes,hair between eyes, very long hair,ponytail,loli face and big boobs, waitress, short sleeves,apron,black skirt,bowtie, child,toddler,smile, official art
キャラクター	Yes! プリキュア5	キュアアクア	cure aqua (precure)
キャラクター	Yes! プリキュア5	キュアドリーム	cure dream (precure)
キャラクター	Yes! プリキュア5	キュアミント	cure mint (precure)
キャラクター	Yes! プリキュア5	キュアルージュ	cure rouge (precure)
キャラクター	Yes! プリキュア5	キュアレモネード	cure lemonade (precure)
キャラクター	Yes! プリキュア5	夏木りん	natsuki rin (precure)
キャラクター	Yes! プリキュア5	秋元こまち	akimoto komachi (precure)
キャラクター	Yes! プリキュア5	春日野うらら	kasugano urara (precure)
キャラクター	Yes! プリキュア5	水無月かれん	minazuki karen (precure)
キャラクター	Yes! プリキュア5	夢原のぞみ	yumehara nozomi (precure)
キャラクター	Yes! プリキュア5GoGo!	ミルキィローズ	milky rose (precure)
キャラクター	あぁ女神様！	ウルド	{{{{urd (aa megami-sama)}}}}
キャラクター	あぁ女神様！	スクルド	{{{{skuld (aa megami-sama)}}}}
キャラクター	あぁ女神様！	ベルダンディー	{{{{belldandy (aa megami-sama)}}}}
キャラクター	アイカツ！	一ノ瀬かえで	{{{{ichinose kaede (aikatsu!)}}}}
キャラクター	アイカツ！	紫吹蘭	{{{{shibuki ran (aikatsu!)}}}}
キャラクター	アイカツ！	神崎美月	{{{{kanzaki mizuki (aikatsu!)}}}}
キャラクター	アイカツ！	星宮いちご	{{{{hoshimiya ichigo (aikatsu!)}}}}
キャラクター	アイカツ！	藤堂ユリカ	{{{{todo yurika (aikatsu!)}}}}
キャラクター	アイカツ！	藤堂ユリカ	{{{{todo yurika (aikatsu!)}}}}
キャラクター	アイカツ！	氷上スミレ	{{{{hikami sumire(aikatsu!)}}}}
キャラクター	アイカツ！	北大路さくら	{{{{hikami sumire(aikatsu!)}}}}
キャラクター	アイカツ！	霧矢あおい	{{{{kiriya aoi (aikatsu!)}}}}
キャラクター	アイカツ！	有栖川おとめ	{{{{arisugawa otome (aikatsu!)}}}}
キャラクター	アイカツスターズ！	香澄夜空	{{{{kasumi yozora (aikatsu stars!)}}}},reddish brown hair
キャラクター	アイカツスターズ！	桜庭ローラ	{{{{sakuraba rola (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	蝶野舞花	{{{{chouno maika (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	二階堂ゆず	{{{{nikaidou yuzu (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	虹野ゆめ	{{{{nijino yume (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	如月ツバサ	{{{{kisaragi tsubasa (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	白鳥ひめ	{{{{shiratori hime (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	白百合かぐや	{{{{nikaidou yuzu (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	湊みお	{{{{minato mio (aikatsu stars!)}}}}
キャラクター	アイカツスターズ！	友希あいね	{{{{yuuki aine (aikatsu friends!)}}}}
キャラクター	アイドルマスター	音無小鳥	{{{{otonashi kotori}}}}, [[[[idolmaster]]]], dark green hair, short hair, bangs, thin yellow hairband on top, orange eyes, tareme, medium breasts, pencil skirt, legwear, zettai ryouiki, vest, smile, solo, cowboy shot,
キャラクター	アイドルマスター	我那覇響	{{{{ganaha hibiki}}}}, [[idolmaster]], fang, long hair, messy ponytail, dark blue hair, aqua eyes, {{{{{{tareme}}}}}}, medium breasts, swept bangs, [[[[antenna hair]]]], hair ribbon, smile, solo, cowboy shot,
